tx_type,response_time_us,retry_count
transfer,225,0
transfer,245,0
transfer,285,0
transfer,242,0
transfer,74,0
transfer,201,0
transfer,123,0
transfer,63,0
transfer,185,0
transfer,123,0
transfer,73,0
transfer,192,0
transfer,124,0
transfer,64,0
transfer,139,0
transfer,59,0
transfer,56,0
transfer,55,0
transfer,52,0
transfer,53,0
transfer,51,0
transfer,50,0
transfer,53,0
transfer,54,0
transfer,51,0
transfer,52,0
transfer,51,0
transfer,52,0
transfer,51,0
transfer,52,0
transfer,52,0
transfer,62,0
transfer,60,0
transfer,64,0
transfer,51,0
transfer,52,0
transfer,54,0
transfer,52,0
transfer,52,0
transfer,53,0
transfer,51,0
transfer,51,0
transfer,52,0
transfer,53,0
transfer,52,0
transfer,69,0
transfer,53,0
transfer,53,0
transfer,54,0
transfer,51,0
transfer,54,0
transfer,52,0
transfer,53,0
transfer,51,0
transfer,53,0
transfer,52,0
transfer,49,0
transfer,53,0
transfer,53,0
transfer,50,0
transfer,53,0
transfer,56,0
transfer,54,0
transfer,56,0
transfer,63,0
transfer,55,0
transfer,51,0
transfer,60,0
transfer,54,0
transfer,54,0
transfer,51,0
transfer,54,0
transfer,52,0
transfer,54,0
transfer,51,0
transfer,51,0
transfer,51,0
transfer,54,0
transfer,58,0
transfer,52,0
transfer,51,0
transfer,64,0
transfer,56,0
transfer,54,0
transfer,50,0
transfer,51,0
transfer,53,0
transfer,51,0
transfer,50,0
transfer,52,0
transfer,52,0
transfer,58,0
transfer,73,0
transfer,58,0
transfer,55,0
transfer,54,0
transfer,55,0
transfer,53,0
transfer,54,0
transfer,52,0
transfer,57,0
transfer,57,0
transfer,53,0
transfer,53,0
transfer,63,0
transfer,52,0
transfer,54,0
transfer,55,0
transfer,57,0
transfer,53,0
transfer,53,0
transfer,55,0
transfer,54,0
transfer,54,0
transfer,54,0
transfer,53,0
transfer,54,0
transfer,66,0
transfer,53,0
transfer,54,0
transfer,51,0
transfer,54,0
transfer,58,0
transfer,57,0
transfer,51,0
transfer,52,0
transfer,54,0
transfer,52,0
transfer,82,0
transfer,55,0
transfer,54,0
transfer,51,0
transfer,51,0
transfer,51,0
transfer,62,0
transfer,55,0
transfer,53,0
transfer,55,0
transfer,55,0
transfer,55,0
transfer,53,0
transfer,52,0
transfer,52,0
transfer,54,0
transfer,53,0
transfer,53,0
transfer,55,0
transfer,54,0
transfer,52,0
transfer,60,0
transfer,63,0
transfer,55,0
transfer,73,0
transfer,54,0
transfer,52,0
transfer,54,0
transfer,52,0
transfer,59,0
transfer,54,0
transfer,53,0
transfer,54,0
transfer,53,0
transfer,53,0
transfer,53,0
transfer,52,0
transfer,52,0
transfer,55,0
transfer,53,0
transfer,62,0
transfer,62,0
transfer,53,0
transfer,53,0
transfer,54,0
transfer,56,0
transfer,58,0
transfer,53,0
transfer,56,0
transfer,54,0
transfer,55,0
transfer,54,0
transfer,55,0
transfer,54,0
transfer,52,0
transfer,56,0
transfer,55,0
transfer,53,0
transfer,52,0
transfer,65,0
transfer,54,0
transfer,53,0
transfer,53,0
transfer,55,0
transfer,52,0
transfer,54,0
transfer,54,0
transfer,53,0
transfer,56,0
transfer,55,0
transfer,55,0
transfer,56,0
transfer,59,0
transfer,59,0
transfer,58,0
transfer,54,0
transfer,52,0
transfer,65,0
transfer,60,0
transfer,55,0
transfer,55,0
transfer,67,0
transfer,53,0
transfer,54,0
transfer,55,0
transfer,58,0
transfer,54,0
transfer,56,0
transfer,55,0
transfer,52,0
transfer,55,0
transfer,54,0
transfer,54,0
transfer,55,0
transfer,67,0
transfer,65,0
transfer,57,0
transfer,54,0
transfer,53,0
transfer,56,0
transfer,54,0
transfer,56,0
transfer,55,0
transfer,61,0
transfer,54,0
transfer,54,0
transfer,54,0
transfer,63,0
transfer,54,0
transfer,53,0
transfer,55,0
transfer,54,0
transfer,53,0
transfer,53,0
transfer,52,0
transfer,73,0
transfer,59,0
transfer,55,0
transfer,55,0
transfer,55,0
transfer,56,0
transfer,52,0
transfer,55,0
transfer,54,0
transfer,54,0
transfer,56,0
transfer,54,0
transfer,53,0
transfer,111,0
transfer,59,0
transfer,54,0
transfer,54,0
transfer,57,0
transfer,58,0
transfer,55,0
transfer,53,0
transfer,55,0
transfer,53,0
transfer,52,0
transfer,55,0
transfer,51,0
transfer,68,0
transfer,56,0
transfer,55,0
transfer,56,0
transfer,52,0
transfer,60,0
transfer,55,0
transfer,57,0
transfer,54,0
transfer,56,0
transfer,55,0
transfer,53,0
transfer,59,0
transfer,54,0
transfer,57,0
transfer,53,0
transfer,54,0
transfer,55,0
transfer,54,0
transfer,54,0
transfer,53,0
transfer,65,0
transfer,56,0
transfer,56,0
transfer,67,0
transfer,55,0
transfer,54,0
transfer,55,0
transfer,55,0
transfer,53,0
transfer,54,0
transfer,54,0
transfer,54,0
transfer,69,0
transfer,58,0
